,Company_Name,Industry,Department,Location,Skills,ClusterLabel
37,state street corporation,bank financial service,finance account tax,bangalore,ms project communication skills client report project management asset management global team regulatory report key metrics statements of work sow,OperationalMgmtSW
46,state street corporation,bank financial service,general other software,bangalore,customer relations insurance quality sales mis large scale systems big data data structure problem solve computer science high availability project administration sql aws set java linux cloud azure python,OperationalMgmtSW
58,ernst   young,bank financial service,operations management process analysis,bangalore,customer relations insurance quality sales mis strong analytical skills identify new opportunities data analysis due diligence company act high pressure risk management statutory audit service delivery corporate finance,OperationalMgmtSW
59,ernst   young,bank financial service,operations management process analysis,bangalore,adobe experience manager power bi music make web analytics business rule text analytics data management data structure data extraction machine learn social listen digital market report systems,OperationalMgmtSW
61,jpmorgan,bank financial service,risk underwrite,bangalore,environmental impact assessment data mine data quality risk analytics data management data governance loss mitigation data warehouse machine learn,OperationalMgmtSW
63,ernst   young,bank financial service,operations management process analysis,bangalore,sql java customer relations sap documentation raspberry pi data extraction process control plant automation leadership skills advisory service software solutions behavioral train industrial automation,OperationalMgmtSW
68,ernst   young,bank financial service,operations management process analysis,bangalore,finance function change management management skills network skills project management strategic plan financial management interpersonal skills relationship build financial justification,OperationalMgmtSW
69,ernst   young,bank financial service,operations management process analysis,bangalore,customer relations insurance quality sales mis ms office tool power bi ms office social media time management equipment supply change management management skills knowledge share interpersonal skills,OperationalMgmtSW
72,state street corporation,bank financial service,finance account tax,bangalore,account balance sheet analysis new concepts balance sheet business units risk management data acquisition financial service verbal communication compatibility test net alm irr qrm risk,OperationalMgmtSW
74,jpmorgan,bank financial service,sales bd,bangalore,sales customer relations sla quality coach front office fix income money market high pressure risk analytics data management computer science trade process issue resolution external clients sales market,OperationalMgmtSW
76,jpmorgan,bank financial service,operations management process analysis,bangalore,report middle office sales high level of accuracy strong communication skills quality business finance back office customer service analytical skills customer relations audit trail audit standards product knowledge,OperationalMgmtSW
77,jpmorgan,bank financial service,statistics analytics,bangalore,data mine fix income money market value creation computer science asset management data preparation mission critical wealth management leadership skills regulatory issue statements of work sow,OperationalMgmtSW
78,jpmorgan,bank financial service,operations management process analysis,bangalore,due diligence kyc aml bank risk item response theory front office train need quality control time management information flow hold company communication skills relationship build,OperationalMgmtSW
79,jpmorgan,bank financial service,sales bd,bangalore,delivery project management customer relations report java root cause analysis back office operations strong communication skills root cause back office,OperationalMgmtSW
87,jpmorgan,bank financial service,sales bd,bangalore,field work music make cloud security risk management technology risk risk frameworks large enterprise senior management security control supplier assurance creative solutions,OperationalMgmtSW
90,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,data center wealth management operate systems techno functional investment bank financial service systems management technology service,OperationalMgmtSW
102,ernst   young,bank financial service,general other software,bangalore,identify new opportunities data analysis due diligence company act high pressure risk management service delivery corporate finance analytical skills advisory service indian account,OperationalMgmtSW
104,ernst   young,bank financial service,sales bd,bangalore,people management skills role model tax return music make service delivery management style people management management skills adaptive management,OperationalMgmtSW
107,jpmorgan,bank financial service,operations management process analysis,bangalore,ms office risk analysis team management problem solve operational risk process analysis wealth management financial service record management process engineer knowledge management,OperationalMgmtSW
113,jpmorgan,bank financial service,finance account tax,bangalore,cash flow analysis credit risk analysis build strong relationships strong communication skills strong interpersonal skills cash flow credit risk risk analysis quality check middle market ratio analysis credit analysis,OperationalMgmtSW
114,jpmorgan,bank financial service,hr,bangalore,life cycle market data data integrity time management senior management management skills project management affirmative action behavioral train presentation skills verbal communication,OperationalMgmtSW
115,jpmorgan,bank financial service,general other software,bangalore,center of excellence data process test procedures computer science business analysis corporate finance automation test external report corrective action information systems verbal communication,OperationalMgmtSW
117,ernst   young,bank financial service,finance account tax,bangalore,data migration tax account quality control service quality microsoft office leave management work effectively people management corrective action payroll process database integrity,OperationalMgmtSW
118,jpmorgan,bank financial service,general other software,bangalore,java sql unit test environment report subject matter expertise sap erp ms office data management problem solve account payable customer service,OperationalMgmtSW
168,hdfc bank ltd ,bank financial service,sales bd,ahmedabad,management train program npa management time management yard management train program process management inventory management personal development receivable management,OperationalMgmtSW
201,state street corporation,bank financial service,statistics analytics,bangalore,business requirements ms excel pivot table subject matter experts data quality new concepts key management data validation financial market financial report regulatory report financial justification advance excel excel pivot,OperationalMgmtSW
203,standard chartered bank ltd,bank financial service,general other software,bangalore,master data project team reference data data management problem solve regulatory risk project delivery project execution project management investment bank financial service project performance,OperationalMgmtSW
204,standard chartered bank ltd,bank financial service,sales bd,bangalore,sales customer relations sla quality coach service quality management business continuity plan life cycle system design service level service quality operational risk service recovery external clients service standards,OperationalMgmtSW
207,standard chartered bank ltd,bank financial service,statistics analytics,bangalore,customer relations documentation requirements functional business requirements life cycle master data user stories reference data product control problem solve project delivery business analysis change management,OperationalMgmtSW
